id,subsidy_name,category,target_age_min,target_age_max,target_family,target_income_max,target_region,target_conditions,amount,amount_raw,urgency,difficulty,recommendation_type,summary,reason,official_url,tags,detail_description,eligibility,application_period,application_method,region_group,municipality,relocation_support_flag,relocation_priority,recommended_area_reason
13,中小企業開業補助金,起業,18,99,all,9999,national,startup,最大300万円,300,medium,high,future,中小企業として開業する際に必要な初期費用を補助する国の制度です。,起業・開業を予定している場合に大きな資金支援が受けられます。,#,起業|中小企業|補助金,"中小企業として新たに開業する際の初期費用を補助する国の制度です。設備費・広告宣伝費・技術導入費など対象経費の2/3以内で最大300万円が補助されます。","小規模事業者または中小企業として開業する方。開業後1年以内。革新的なビジネスモデルや技術を有することが評価ポイント。","年2〜3回公募（各公募期間：約1ヶ月）","中小企業庁のポータルサイトから電子申請。事業計画書と必要書類を提出。認定経営革新等支援機関のサポートを受けることを推奨。",,,,,
14,物価高騰対策給付金,生活支援,0,99,all,9999,national,low_income|all,7万円,7,high,low,now,物価高騰の影響を受けている低所得世帯を対象に生活費の負担を軽減する給付金です。,物価高の影響を受けている世帯がすぐに受け取れる緊急支援制度です。,#,生活支援|給付金|物価高,"物価高騰の影響を受けている低所得世帯に対し生活費の負担を軽減するための給付金です。住民税非課税世帯を中心に1世帯あたり7万円が一括給付されます。","2024年度の住民税が非課税の世帯または2024年に家計急変があった世帯。","2024年6月〜2025年2月（自治体により異なる）","自治体から送付される確認書または申請書に記入して返送。銀行口座への振込で給付される。多くの場合は自治体からの通知を待つ形。",,,,,
15,バリアフリー住宅改修補助,介護|住宅,40,99,all,9999,national,elderly|disabled,最大20万円,20,medium,low,future,高齢者や障害者が安全に生活できるよう住宅のバリアフリー改修費用を補助する制度です。,高齢者同居や介護予定がある世帯に将来活用できる制度です。,#,介護|住宅|バリアフリー,"高齢者や障害者が安全・快適に生活できるよう住宅のバリアフリー改修費用を補助する制度です。手すりの設置・段差解消・滑り止めの設置などが対象で最大20万円が補助されます。","65歳以上の高齢者・障害者手帳を持つ方またはそれらの家族と同居する世帯。要介護・要支援認定を受けている場合は介護保険制度との併用も可能。","通年受付（市区町村に確認が必要）","市区町村の介護保険担当窓口で申請。ケアマネジャーへの相談を経てからの申請が推奨。介護保険との組み合わせで費用をより多くカバーできる。",,,,,
16,育児休業給付金,子育て|就業,18,99,child,9999,national,child,賃金の最大80%,200,high,low,now,育児休業中の収入を保障するため賃金の最大80%が給付される制度です。,子育て中で雇用保険加入の場合にすぐ申請できる重要な制度です。,#,子育て|就業|育休|給付金,"育児休業中の収入を保障するため雇用保険から給付される制度です。育休開始後6ヶ月は賃金の67%、その後は50%が給付されます。夫婦同時取得の場合は最大80%に引き上げられる特例もあります。","雇用保険に加入し育児休業を取得する男女。子どもが1歳（延長の場合は最長2歳）になるまでが対象期間。育休前2年間に一定の雇用保険加入期間が必要。","育休開始から4ヶ月以内（ハローワークへの届出）","勤務先の人事・総務部門を通じてハローワークに申請。給与明細・休業証明書などの書類を会社経由で提出する。",,,,,
17,住宅取得等資金贈与非課税特例,住宅,18,99,all,9999,national,housing_purchase,最大1000万円,1000,medium,high,future,住宅取得のために父母や祖父母から資金贈与を受ける際に贈与税が非課税になる特例制度です。,住宅購入予定がある場合に贈与を活用することで大きな節税が可能です。,#,住宅|贈与|節税,"住宅取得のために父母や祖父母から資金の贈与を受ける場合に一定額まで贈与税が非課税になる特例です。省エネ・耐震・バリアフリー住宅の場合は最大1000万円、それ以外は500万円まで非課税となります。","20歳以上で合計所得金額2000万円以下の方。贈与を受けた年の翌年3月15日までに住宅に入居すること。床面積40〜240㎡の住宅が対象。","贈与を受けた年の翌年2月1日〜3月15日の確定申告期間内","税務署または国税庁のe-Taxで確定申告を行う。贈与を受けた事実と住宅取得を証明する書類（売買契約書・登記事項証明書等）の提出が必要。",,,,,
18,テレワーク推進助成金,就業,18,99,all,9999,national,employment,最大15万円,15,medium,medium,now,テレワーク環境の整備費用を支援するため機器購入や環境構築費用の一部を助成する制度です。,在宅勤務や副業を行っている場合に活用できる就業支援制度です。,#,就業|テレワーク|助成金,"テレワーク環境の整備費用を支援するためパソコン・周辺機器の購入費・セキュリティ対策費用・回線費用などの一部を助成する制度です。最大15万円まで助成されます。","在宅勤務を行っている会社員または個人事業主。新たにテレワーク環境を整備する場合が主な対象。","通年受付（年度ごとに予算が設定されるため早めの申請を推奨）","雇用者の場合は会社の総務・人事部門を通じて申請。個人事業主は直接申請窓口に申請書と領収書を提出する。",,,,,
19,女性起業家支援補助金,起業,18,60,all,9999,national,startup,最大100万円,100,medium,medium,future,女性が起業する際の費用を支援するため事業開始に必要な費用の一部を補助する制度です。,起業を検討している場合に活用できる将来向けの支援制度です。,#,起業|女性|補助金,"女性が起業する際に必要な費用を支援する補助金制度です。事業所の設置費・機器購入費・広告宣伝費などが対象となり補助対象経費の2/3以内で最大100万円が補助されます。","女性で起業予定または起業から1年以内の方。18〜60歳。事業実施場所が日本国内であること。","年1〜2回公募（公募期間：約1ヶ月、事前に公式サイトで確認）","都道府県の商工会議所または中小企業支援センターに申請書類を提出。事業計画書の作成が必要で採択後に補助金が交付される。",,,,,
20,産前産後ヘルパー派遣事業,子育て,15,45,child|couple,9999,osaka,child|couple,ヘルパー無料派遣,5,high,low,now,大阪市内の産前産後の家庭にヘルパーを無料で派遣し家事・育児を支援する事業です。,妊娠中または出産後の家庭がすぐに活用できる生活支援サービスです。,#,子育て|大阪|産前産後|ヘルパー,"大阪市内の妊娠中または出産後（産後12週以内）の家庭にヘルパーを無料で派遣し家事・育児をサポートする事業です。1世帯あたり最大24時間分のヘルパーサービスが無料で利用できます。","大阪市在住で産前（妊娠中）または産後12週以内の方。多胎妊娠・出産の場合はサービス時間が拡充される場合あり。","妊娠確認後から産後12週以内（利用希望日の2週間前までに申請推奨）","大阪市の各区役所の子育て支援課または電話で申請。必要書類：母子健康手帳・在住を証明するもの。申請後、担当者より派遣スケジュールの連絡あり。",,,,,
21,宮城県移住支援金,移住,18,55,all,9999,national,relocation,最大100万円,100,medium,medium,future,宮城県外から宮城県内の対象市町村に移住する方に移住費用を支援する補助金です。,東北エリアへの移住を検討している場合に活用できる移住支援制度です。,#,移住|東北|宮城|補助金,"宮城県外から宮城県内の対象市町村に移住し就業または起業する方を対象に支援金を給付する制度です。単身者は最大60万円、世帯は最大100万円が支給されます。移住後の生活費・引越し費用などに充てることができます。","宮城県外から転入した方で対象市町村に居住し就業または起業する方。転入後1年以内の申請が必要。年齢制限なし。","転入後1年以内（通年受付）","宮城県または対象市町村の移住支援窓口に申請。必要書類：転入届受理証明書・就労証明書・誓約書など。",東北,宮城県・仙台市周辺,true,high,東北最大の都市・仙台を擁し医療・教育・交通が充実。移住後の生活基盤を整えやすく子育て支援も手厚い。
22,岩手県移住支援補助金,移住,18,99,all,9999,national,relocation,最大60万円,60,low,medium,future,岩手県外から岩手県内に移住する方に移住に伴う費用を補助する制度です。,東北エリアへの移住を検討している場合に活用できる補助金制度です。,#,移住|東北|岩手|補助金,"岩手県外から岩手県内の対象地域に移住する方を対象に引越し費用や生活立ち上げ費用の一部を補助する制度です。単身者は最大30万円、世帯は最大60万円が補助されます。","岩手県外から転入した18歳以上の方。対象市町村に居住し就業・就農・就学する方。転入後6ヶ月以内の申請が必要。","転入後6ヶ月以内（通年受付）","移住先の市町村窓口または岩手県の移住支援センターに申請書類を提出。転入届の写しと就業証明書などが必要。",東北,岩手県,true,medium,豊かな自然と低い生活コストで移住しやすい環境。農林業や観光業など地域産業との関わりも深く地方生活を充実させやすい。
23,秋田県移住応援給付金,移住,18,49,all,9999,national,relocation,最大100万円,100,medium,low,future,東京圏から秋田県内に移住する方を対象に移住費用を給付する制度です。,東北エリアで全国トップクラスの移住支援額が受けられる制度です。,#,移住|東北|秋田|給付金,"東京圏（東京都・埼玉県・千葉県・神奈川県）から秋田県内に移住し就業または起業する方に給付金を支給する制度です。世帯移住の場合は最大100万円、子どもがいる場合はさらに加算があります。","転入前に東京圏に在住・就業していた方。秋田県内で就業・テレワーク・起業する方。申請は転入後1年以内。","転入後1年以内（通年受付）","秋田県の移住支援窓口またはオンラインで申請。必要書類：転入届受理証明書・就業証明書・東京圏在住証明書など。",東北,秋田県,true,high,全国でも有数の移住支援額。子育て環境整備が進んでおり住宅コストも低い。テレワーク移住にも積極的な自治体が多い。
24,茨城県移住支援金,移住,18,59,all,9999,national,relocation,最大100万円,100,medium,medium,future,東京23区から茨城県内の対象市町村に移住する方に支援金を給付する制度です。,関東圏で首都圏アクセスを保ちながら移住支援が受けられます。,#,移住|関東|茨城|補助金,"東京23区在住者または東京圏（埼玉・千葉・神奈川含む）から茨城県内の対象市町村に移住し就業・テレワーク・起業する方を対象に支援金を給付する制度です。単身者は最大60万円、世帯は最大100万円。","転入前1年以上東京圏に居住していた方。対象市町村に転入し就業・テレワーク・起業する方。18歳以上59歳以下。","転入後1年以内（通年受付）","移住先の市町村窓口に申請書類を提出。転入届受理証明書・就業証明書・誓約書などが必要。",関東,茨城県,true,high,東京へのアクセスを保ちながら地方暮らしを実現。住宅コストが都内の1/3以下で子育て環境も整っており生活コストを大幅に抑えられる。
25,群馬県移住推進補助金,移住,18,99,all,9999,national,relocation,最大60万円,60,low,medium,future,群馬県内の対象地域に移住する方に移住費用を補助する制度です。,関東圏での移住支援として活用できる補助金制度です。,#,移住|関東|群馬|補助金,"群馬県外から群馬県内の対象市町村に移住する方を対象に引越し費用や生活費の一部を補助する制度です。単身者は最大30万円、世帯は最大60万円が補助されます。","群馬県外から転入した方で対象市町村に居住し就業・テレワーク・起業する方。転入後6ヶ月以内の申請が必要。","転入後6ヶ月以内（通年受付）","移住先の市町村窓口または群馬県の移住相談窓口に申請書類を提出。",関東,群馬県,true,medium,豊かな自然と温泉が魅力。東京まで新幹線で1時間圏内でアクセスも良好。移住支援制度も年々充実しており生活しやすい環境が整っている。
26,地方創生移住支援事業,移住,18,99,all,9999,national,relocation,最大100万円,100,medium,medium,future,東京圏から地方に移住して就業・起業する方に最大100万円を国が支援する制度です。,地方への移住を検討している場合に全国どこでも活用できる国の制度です。,#,移住|全国|補助金|地方創生,"東京圏（東京都・埼玉県・千葉県・神奈川県）から地方に移住し就業・起業する方を対象に移住支援金を給付する国の制度です。単身者は最大60万円、世帯は最大100万円が給付されます。子育て世帯にはさらに加算があります。","転入前に東京圏に在住かつ就業していた方（条件あり）。地方の対象地域に転入し就業または起業する方。","転入後1年以内（通年受付）","移住先の都道府県または市町村の移住支援窓口に申請書類を提出。転入届受理証明書・就業証明書などが必要。",全国,全国（各都道府県の対象地域）,true,high,国が直接支援する移住制度で全国各地で活用可能。就業・起業との組み合わせでさらに手厚い支援が受けられる。都市から地方への第一歩に最適。
